id,name,destination,x_mm,y_mm,z_mm,order,weight_kg,fragile,rot_xy,posX,posY,posZ,rotation,loadOrder
XM02-227,ペット用品,神奈川県川崎市,232,133,22,764,0.2,false,true,500,4200,0,0,1
X08-042,飲料,大阪府大阪市,315,245,105,946,1.9,true,true,0,4100,0,0,2
XM01-936,家具,埼玉県さいたま市,286,213,24,634,0.5,false,true,1000,4100,0,0,3
XM01-322,家具,埼玉県さいたま市,286,213,24,659,0.4,false,true,1300,4000,0,0,4
XM01-725,スポーツ用品,東京都渋谷区,286,213,24,823,0.2,false,true,1700,3900,0,0,5
X08-181,雑貨,東京都目黒区,315,245,105,460,1.2,false,true,0,3800,0,0,6
XM01-535,雑貨,神奈川県川崎市,286,213,24,673,0.4,false,true,400,3800,0,0,7
XY13-284,スポーツ用品,東京都港区,330,255,30,551,0.7,false,true,800,3700,0,0,8
XM01-568,家具,東京都目黒区,286,213,24,674,0.4,false,true,1200,3700,0,0,9
XY05-895,日用品,東京都港区,250,180,120,440,1.4,false,true,0,3600,0,0,10
XM01-265,医薬品,東京都港区,286,213,24,656,0.4,false,true,1500,3600,0,0,11
XY05-721,玩具,東京都渋谷区,250,180,120,376,1.7,false,false,1200,3500,0,0,12
XM01-438,書籍,東京都渋谷区,286,213,24,664,0.4,false,true,600,3400,0,0,13
XY13-913,ペット用品,大阪府大阪市,330,255,30,565,0.7,false,true,200,3300,0,0,14
XM02-166,文具,愛知県名古屋市,232,133,22,757,0.2,false,true,1100,3200,0,0,15
XY13-842,玩具,東京都港区,330,255,30,563,0.7,false,true,1500,3200,0,0,16
XM02-407,日用品,東京都新宿区,232,133,22,782,0.2,false,true,400,3100,0,0,17
XY13-462,スポーツ用品,東京都渋谷区,330,255,30,608,0.5,false,false,0,3000,0,0,18
XM01-749,化粧品,福岡県福岡市,286,213,24,989,0.4,true,true,700,3000,0,0,19
XM02-960,日用品,東京都新宿区,232,133,22,853,0.2,false,true,1000,3000,0,0,20
XY05-618,ペット用品,東京都目黒区,250,180,120,954,1.5,true,true,200,2800,0,0,21
XM02-514,スポーツ用品,東京都目黒区,232,133,22,884,0.1,false,true,500,2800,0,0,22
XM02-797,飲料,東京都新宿区,232,133,22,834,0.2,false,true,1000,2800,0,0,23
X08-626,衣類,神奈川県川崎市,315,245,105,346,1.9,false,true,1300,2800,0,0,24
XM01-459,衣類,大阪府大阪市,286,213,24,995,0.3,true,true,1700,2800,0,0,25
XY05-140,家具,神奈川県川崎市,250,180,120,446,1.3,false,false,200,2600,0,0,26
XM02-861,食品,神奈川県横浜市,232,133,22,842,0.2,false,true,700,2600,0,0,27
XM01-665,工具,神奈川県川崎市,286,213,24,680,0.4,false,true,1700,2500,0,0,28
XM01-463,食品,東京都渋谷区,286,213,24,669,0.4,false,true,1200,2400,0,0,29
XM02-482,書籍,東京都品川区,232,133,22,883,0.1,false,true,200,2300,0,0,30
XM02-304,飲料,東京都目黒区,232,133,22,772,0.2,false,true,1500,2300,0,0,31
XM02-334,スポーツ用品,神奈川県横浜市,232,133,22,776,0.2,false,true,1200,2200,0,0,32
XM02-220,スポーツ用品,東京都新宿区,232,133,22,762,0.2,false,true,400,2100,0,0,33
X11-275,工具,愛知県名古屋市,405,305,255,190,8,false,false,700,2100,0,0,34
XM01-450,衣類,東京都品川区,286,213,24,666,0.4,false,true,0,2000,0,0,35
XM02-184,スポーツ用品,東京都品川区,232,133,22,869,0.1,false,true,1200,2000,0,0,36
XY13-645,飲料,神奈川県横浜市,330,255,30,511,0.9,false,true,1600,2000,0,0,37
XM02-732,ペット用品,東京都品川区,232,133,22,1007,0.1,true,true,500,1900,0,0,38
XM02-513,日用品,神奈川県川崎市,232,133,22,803,0.2,false,true,900,1900,0,0,39
XM02-598,工具,大阪府大阪市,232,133,22,891,0.1,false,false,200,1800,0,0,40
XY05-014,飲料,北海道札幌市,250,180,120,517,0.8,false,true,1200,1800,0,0,41
XM02-105,玩具,愛知県名古屋市,232,133,22,753,0.2,false,false,1700,1800,0,0,42
XM02-820,雑貨,福岡県福岡市,232,133,22,836,0.2,false,false,0,1600,0,0,43
XY13-773,家具,埼玉県さいたま市,330,255,30,584,0.6,false,true,300,1500,0,0,44
XY13-991,日用品,東京都渋谷区,330,255,30,543,0.8,false,true,800,1500,0,0,45
XM01-351,文具,東京都渋谷区,286,213,24,716,0.3,false,true,1700,1500,0,0,46
X12-823,医薬品,福岡県福岡市,485,325,295,94,10.5,false,true,1200,1400,0,0,47
XM02-705,医薬品,福岡県福岡市,232,133,22,822,0.2,false,true,100,1200,0,0,48
XY13-735,飲料,東京都渋谷区,330,255,30,535,0.8,false,true,400,1200,0,0,49
XY05-168,化粧品,東京都港区,250,180,120,504,0.9,false,true,1300,1200,0,0,50
XM01-704,工具,東京都品川区,286,213,24,1000,0.2,true,true,1700,1200,0,0,51
XM02-188,食品,東京都港区,232,133,22,758,0.2,false,true,1000,1100,0,0,52
XY05-017,スポーツ用品,神奈川県川崎市,250,180,120,956,1.4,true,true,0,1000,0,0,53
XY05-970,医薬品,東京都港区,250,180,120,459,1.3,false,true,300,1000,0,0,54
XY05-752,工具,東京都港区,250,180,120,536,0.8,false,true,1500,1000,0,0,55
XM02-694,文具,神奈川県川崎市,232,133,22,820,0.2,false,true,0,800,0,0,56
XY13-630,文具,東京都品川区,330,255,30,580,0.6,false,false,1100,800,0,0,57
XM01-999,スポーツ用品,東京都港区,286,213,24,698,0.4,false,false,300,700,0,0,58
XY13-742,書籍,東京都新宿区,330,255,30,978,0.6,true,false,700,700,0,0,59
